"date","d_killed","drivers","front","rear"
1969-01-01,107,1687,867,269
1969-02-01,97,1508,825,265
1969-03-01,102,1507,806,319
1969-04-01,87,1385,814,407
1969-05-01,119,1632,991,454
1969-06-01,106,1511,945,427
1969-07-01,110,1559,1004,522
1969-08-01,106,1630,1091,536
1969-09-01,107,1579,958,405
1969-10-01,134,1653,850,437
1969-11-01,147,2152,1109,434
1969-12-01,180,2148,1113,437
1970-01-01,125,1752,925,316
1970-02-01,134,1765,903,311
1970-03-01,110,1717,1006,351
1970-04-01,102,1558,892,362
1970-05-01,103,1575,990,486
1970-06-01,111,1520,866,429
1970-07-01,120,1805,1095,551
1970-08-01,129,1800,1204,646
1970-09-01,122,1719,1029,456
1970-10-01,183,2008,1147,475
1970-11-01,169,2242,1171,456
1970-12-01,190,2478,1299,468
1971-01-01,134,2030,944,356
1971-02-01,108,1655,874,271
1971-03-01,104,1693,840,354
1971-04-01,117,1623,893,427
1971-05-01,157,1805,1007,465
1971-06-01,148,1746,973,440
1971-07-01,130,1795,1097,539
1971-08-01,140,1926,1194,646
1971-09-01,136,1619,988,457
1971-10-01,140,1992,1077,446
1971-11-01,187,2233,1045,402
1971-12-01,150,2192,1115,441
1972-01-01,159,2080,1005,359
1972-02-01,143,1768,857,334
1972-03-01,114,1835,879,312
1972-04-01,127,1569,887,427
1972-05-01,159,1976,1075,434
1972-06-01,156,1853,1121,486
1972-07-01,138,1965,1190,569
1972-08-01,120,1689,1058,523
1972-09-01,117,1778,939,418
1972-10-01,170,1976,1074,452
1972-11-01,168,2397,1089,462
1972-12-01,198,2654,1208,497
1973-01-01,144,2097,903,354
1973-02-01,146,1963,916,347
1973-03-01,109,1677,787,276
1973-04-01,131,1941,1114,472
1973-05-01,151,2003,1014,487
1973-06-01,140,1813,1022,505
1973-07-01,153,2012,1114,619
1973-08-01,140,1912,1132,640
1973-09-01,161,2084,1111,559
1973-10-01,168,2080,1008,453
1973-11-01,152,2118,916,418
1973-12-01,136,2150,992,419
1974-01-01,113,1608,731,262
1974-02-01,100,1503,665,299
1974-03-01,103,1548,724,303
1974-04-01,103,1382,744,401
1974-05-01,121,1731,910,413
1974-06-01,134,1798,883,426
1974-07-01,133,1779,900,516
1974-08-01,129,1887,1057,600
1974-09-01,144,2004,1076,459
1974-10-01,154,2077,919,443
1974-11-01,156,2092,920,412
1974-12-01,163,2051,953,400
1975-01-01,122,1577,664,278
1975-02-01,92,1356,607,302
1975-03-01,117,1652,777,381
1975-04-01,95,1382,633,279
1975-05-01,96,1519,791,442
1975-06-01,108,1421,790,409
1975-07-01,108,1442,803,416
1975-08-01,106,1543,884,511
1975-09-01,140,1656,769,393
1975-10-01,114,1561,732,345
1975-11-01,158,1905,859,391
1975-12-01,161,2199,994,470
1976-01-01,102,1473,704,266
1976-02-01,127,1655,684,312
1976-03-01,125,1407,671,300
1976-04-01,101,1395,643,373
1976-05-01,97,1530,771,412
1976-06-01,112,1309,644,322
1976-07-01,112,1526,828,458
1976-08-01,113,1327,748,427
1976-09-01,108,1627,767,346
1976-10-01,128,1748,825,421
1976-11-01,154,1958,810,344
1976-12-01,162,2274,986,370
1977-01-01,112,1648,714,291
1977-02-01,79,1401,567,224
1977-03-01,82,1411,616,266
1977-04-01,127,1403,678,338
1977-05-01,108,1394,742,298
1977-06-01,110,1520,840,386
1977-07-01,123,1528,888,479
1977-08-01,103,1643,852,473
1977-09-01,97,1515,774,332
1977-10-01,140,1685,831,391
1977-11-01,165,2000,889,370
1977-12-01,183,2215,1046,431
1978-01-01,148,1956,889,366
1978-02-01,111,1462,626,250
1978-03-01,116,1563,808,355
1978-04-01,115,1459,746,304
1978-05-01,100,1446,754,379
1978-06-01,106,1622,865,440
1978-07-01,134,1657,980,500
1978-08-01,125,1638,959,511
1978-09-01,117,1643,856,384
1978-10-01,122,1683,798,366
1978-11-01,153,2050,942,432
1978-12-01,178,2262,1010,390
1979-01-01,114,1813,796,306
1979-02-01,94,1445,643,232
1979-03-01,128,1762,794,342
1979-04-01,119,1461,750,329
1979-05-01,111,1556,809,394
1979-06-01,110,1431,716,355
1979-07-01,114,1427,851,385
1979-08-01,118,1554,931,463
1979-09-01,115,1645,834,453
1979-10-01,132,1653,762,373
1979-11-01,153,2016,880,401
1979-12-01,171,2207,1077,466
1980-01-01,115,1665,748,306
1980-02-01,95,1361,593,263
1980-03-01,92,1506,720,323
1980-04-01,100,1360,646,310
1980-05-01,95,1453,765,424
1980-06-01,114,1522,820,403
1980-07-01,102,1460,807,406
1980-08-01,104,1552,885,466
1980-09-01,132,1548,803,381
1980-10-01,136,1827,860,369
1980-11-01,117,1737,825,378
1980-12-01,137,1941,911,392
1981-01-01,111,1474,704,284
1981-02-01,106,1458,691,316
1981-03-01,98,1542,688,321
1981-04-01,84,1404,714,358
1981-05-01,94,1522,814,378
1981-06-01,105,1385,736,382
1981-07-01,123,1641,876,433
1981-08-01,109,1510,829,506
1981-09-01,130,1681,818,428
1981-10-01,153,1938,942,479
1981-11-01,134,1868,782,370
1981-12-01,99,1726,823,349
1982-01-01,115,1456,595,238
1982-02-01,104,1445,673,285
1982-03-01,131,1456,660,324
1982-04-01,108,1365,676,346
1982-05-01,103,1487,755,410
1982-06-01,115,1558,815,411
1982-07-01,122,1488,867,496
1982-08-01,122,1684,933,534
1982-09-01,125,1594,798,396
1982-10-01,137,1850,950,470
1982-11-01,138,1998,825,385
1982-12-01,152,2079,911,411
1983-01-01,120,1494,619,281
1983-02-01,95,1057,426,300
1983-03-01,100,1218,475,318
1983-04-01,89,1168,556,391
1983-05-01,82,1236,559,398
1983-06-01,89,1076,483,337
1983-07-01,60,1174,587,477
1983-08-01,84,1139,615,422
1983-09-01,113,1427,618,495
1983-10-01,126,1487,662,471
1983-11-01,122,1483,519,368
1983-12-01,118,1513,585,345
1984-01-01,92,1357,483,296
1984-02-01,86,1165,434,319
1984-03-01,81,1282,513,349
1984-04-01,84,1110,548,375
1984-05-01,87,1297,586,441
1984-06-01,90,1185,522,465
1984-07-01,79,1222,601,472
1984-08-01,96,1284,644,521
1984-09-01,122,1444,643,429
1984-10-01,120,1575,641,408
1984-11-01,137,1737,711,490
1984-12-01,154,1763,721,491
